"genusName","feeding","basal","enrichment","structure","cp","GenavgMass","GenavgCPr","GenavgCRs","GenavgMFP","GenavgEFP","GenavgSFP","GenavgHFP","GenavgFFP","GenavgBFP","GenavgPFP","StderrMass","StderrCPr","StderrCRs","StderrMFP","StderrEFP","StderrSFP","StderrHFP","StderrFFP","StderrBFP","StderrPFP"
"Campbellenchus","1","0.0","0.0","0.0","2","0.393","0.0197","0.135","0.1546","0.0","0.0","0.1546","0.0","0.0","0.0","0.0478","0.0024","0.0122","0.0146","0.0","0.0","0.0146","0.0","0.0","0.0"
"Campydora","8","0.0","0.0","3.2","4","0.2789","0.007","0.1048","0.1118","0.0","0.1118","0.0","0.0","0.0","0.1118","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Campydoroides","8","0.0","0.0","3.2","4","0.2684","0.0067","0.1018","0.1085","0.0","0.1085","0.0","0.0","0.0","0.1085","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Capillaria","0","0.0","0.0","0.0","0","22.5308","0.0","2.8232","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Carcharodiscus","8","0.0","0.0","3.2","4","2.694","0.0674","0.5599","0.6273","0.0","0.6273","0.0","0.0","0.0","0.6273","1.3372","0.0334","0.2167","0.2502","0.0","0.2502","0.0","0.0","0.0","0.2502"
"Carcharolaimus","8","0.0","0.0","3.2","4","3.7271","0.0932","0.7019","0.795","0.0","0.795","0.0","0.0","0.0","0.795","1.4548","0.0364","0.2104","0.2467","0.0","0.2467","0.0","0.0","0.0","0.2467"
"Carphodorus","1","0.0","0.0","0.0","3","0.5739","0.0191","0.18","0.1991","0.0","0.0","0.1991","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Caveonchus","2","0.0","0.0","3.2","4","0.5093","0.0127","0.1634","0.1762","0.0","0.1762","0.0","0.1762","0.0","0.0","0.0542","0.0014","0.0129","0.0143","0.0","0.0143","0.0","0.0143","0.0","0.0"
"Caviputa","3","0.0","0.0","3.2","4","0.0977","0.0024","0.0477","0.0501","0.0","0.0501","0.0","0.0","0.0501","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cephalenchus","1","0.0","0.0","0.0","2","0.1159","0.0058","0.0536","0.0594","0.0","0.0","0.0594","0.0","0.0","0.0","0.008","4.0E-4","0.0027","0.0031","0.0","0.0","0.0031","0.0","0.0","0.0"
"Cephalobellus","0","0.0","0.0","0.0","0","296.4959","0.0","17.3176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","81.6155","0.0","3.5177","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
